Baraga Solar project 3 - 2018 data (Differentiator: Higher DC to AC ratio),,NOTES:,
Latitude,  46.69 ,"Location selected for EJ /policy reasons (because it is situated in a Native community), and selected locally for being in an area with better solar resource",
Longitude,  (88.62),,
System capacity (kW DC),1000,<-- auto-generated by SAM,
System capacity (W DC),"  1,000,000 ",,
DC to AC ratio,1.34,This is recommended by ATB. Higher,
AC capacity (kW AC),746.27,Found on SAM. Lower,
AC capacity (W AC),"  746,270 ",,
Mean capacity factor (%),18.6%,"Very low, worse than class 10",But better than Baraga 2
Capex (overnight cap cost) ($/kw)," $ 1,230.00 ","Class 10 - Moderate, 2022",
Fixed OPEX ($/kw-year), $ 22.03 ,"Class 10 - Moderate, 2022",
,,,
FROM SAM DATA DOWNLOAD					,,CALCULATED COLUMN,
Time stamp,AC inverter output power | (W),Capacity Factor (%),
"Feb 2, 10:00 am",0,0.00%,
"Feb 2, 11:00 am",0,0.00%,
"Feb 2, 12:00 pm",0,0.00%,
"Feb 2, 01:00 pm",7199.75,0.96%,
"Feb 2, 02:00 pm",246205,32.99%,
"Feb 2, 03:00 pm",263820,35.35%,
"Feb 2, 04:00 pm",175421,23.51%,
"Feb 2, 05:00 pm",345420,46.29%,
"Feb 2, 06:00 pm",662478,88.77%,
"Feb 2, 07:00 pm",582625,78.07%,
"Feb 2, 08:00 pm",344681,46.19%,
"Feb 2, 09:00 pm",216942,29.07%,
"Feb 2, 10:00 pm",30467.5,4.08%,
"Feb 2, 11:00 pm",0,0.00%,
"Feb 3, 12:00 am",0,0.00%,
"Feb 3, 01:00 am",0,0.00%,
"Feb 3, 02:00 am",0,0.00%,
"Feb 3, 03:00 am",0,0.00%,
"Feb 3, 04:00 am",0,0.00%,
"Feb 3, 05:00 am",0,0.00%,
"Feb 3, 06:00 am",0,0.00%,
"Feb 3, 07:00 am",0,0.00%,
"Feb 3, 08:00 am",0,0.00%,
"Feb 3, 09:00 am",0,0.00%,
"Feb 3, 10:00 am",0,0.00%,
"Feb 3, 11:00 am",0,0.00%,
"Feb 3, 12:00 pm",0,0.00%,
"Feb 3, 01:00 pm",5846.68,0.78%,
"Feb 3, 02:00 pm",47283.2,6.34%,
"Feb 3, 03:00 pm",232775,31.19%,
"Feb 3, 04:00 pm",364765,48.88%,
"Feb 3, 05:00 pm",368413,49.37%,
"Feb 3, 06:00 pm",234607,31.44%,
"Feb 3, 07:00 pm",255877,34.29%,
"Feb 3, 08:00 pm",90670.6,12.15%,
"Feb 3, 09:00 pm",34145.2,4.58%,
"Feb 3, 10:00 pm",7895.63,1.06%,
"Feb 3, 11:00 pm",0,0.00%,
"Feb 4, 12:00 am",0,0.00%,
"Feb 4, 01:00 am",0,0.00%,
"Feb 4, 02:00 am",0,0.00%,
"Feb 4, 03:00 am",0,0.00%,
"Feb 4, 04:00 am",0,0.00%,
"Feb 4, 05:00 am",0,0.00%,
"Feb 4, 06:00 am",0,0.00%,
"Feb 4, 07:00 am",0,0.00%,
"Feb 4, 08:00 am",0,0.00%,
"Feb 4, 09:00 am",0,0.00%,
"Feb 4, 10:00 am",0,0.00%,
"Feb 4, 11:00 am",0,0.00%,
"Feb 4, 12:00 pm",0,0.00%,
"Feb 4, 01:00 pm",11289.3,1.51%,
"Feb 4, 02:00 pm",256639,34.39%,
"Feb 4, 03:00 pm",586552,78.60%,
"Feb 4, 04:00 pm",669296,89.69%,
"Feb 4, 05:00 pm",725908,97.27%,
"Feb 4, 06:00 pm",746269,100.00%,
"Feb 4, 07:00 pm",746269,100.00%,
"Feb 4, 08:00 pm",649053,86.97%,
"Feb 4, 09:00 pm",389555,52.20%,
"Feb 4, 10:00 pm",64378.5,8.63%,
"Feb 4, 11:00 pm",0,0.00%,
"Feb 5, 12:00 am",0,0.00%,
"Feb 5, 01:00 am",0,0.00%,
"Feb 5, 02:00 am",0,0.00%,
"Feb 5, 03:00 am",0,0.00%,
"Feb 5, 04:00 am",0,0.00%,
"Feb 5, 05:00 am",0,0.00%,
"Feb 5, 06:00 am",0,0.00%,
"Feb 5, 07:00 am",0,0.00%,
"Feb 5, 08:00 am",0,0.00%,
"Feb 5, 09:00 am",0,0.00%,
"Feb 5, 10:00 am",0,0.00%,
"Feb 5, 11:00 am",0,0.00%,
"Feb 5, 12:00 pm",0,0.00%,
"Feb 5, 01:00 pm",13499.2,1.81%,
"Feb 5, 02:00 pm",238967,32.02%,
"Feb 5, 03:00 pm",427944,57.34%,
"Feb 5, 04:00 pm",373850,50.10%,
"Feb 5, 05:00 pm",218874,29.33%,
"Feb 5, 06:00 pm",712570,95.48%,
"Feb 5, 07:00 pm",715375,95.86%,
"Feb 5, 08:00 pm",544483,72.96%,
"Feb 5, 09:00 pm",333319,44.66%,
"Feb 5, 10:00 pm",69402.9,9.30%,
"Feb 5, 11:00 pm",0,0.00%,
"Feb 6, 12:00 am",0,0.00%,
"Feb 6, 01:00 am",0,0.00%,
"Feb 6, 02:00 am",0,0.00%,
"Feb 6, 03:00 am",0,0.00%,
"Feb 6, 04:00 am",0,0.00%,
"Feb 6, 05:00 am",0,0.00%,
"Feb 6, 06:00 am",0,0.00%,
"Feb 6, 07:00 am",0,0.00%,
"Feb 6, 08:00 am",0,0.00%,
"Feb 6, 09:00 am",0,0.00%,
"Feb 6, 10:00 am",0,0.00%,
"Feb 6, 11:00 am",0,0.00%,
"Feb 6, 12:00 pm",0,0.00%,
"Feb 6, 01:00 pm",16154.8,2.16%,
"Feb 6, 02:00 pm",317164,42.50%,
"Feb 6, 03:00 pm",521445,69.87%,
"Feb 6, 04:00 pm",536037,71.83%,
"Feb 6, 05:00 pm",243268,32.60%,
"Feb 6, 06:00 pm",710712,95.24%,
"Feb 6, 07:00 pm",746269,100.00%,
"Feb 6, 08:00 pm",580331,77.76%,
"Feb 6, 09:00 pm",377145,50.54%,
"Feb 6, 10:00 pm",95087.9,12.74%,
"Feb 6, 11:00 pm",0,0.00%,
"Feb 7, 12:00 am",0,0.00%,
"Feb 7, 01:00 am",0,0.00%,
"Feb 7, 02:00 am",0,0.00%,
"Feb 7, 03:00 am",0,0.00%,
"Feb 7, 04:00 am",0,0.00%,
"Feb 7, 05:00 am",0,0.00%,
"Feb 7, 06:00 am",0,0.00%,
"Feb 7, 07:00 am",0,0.00%,
"Feb 7, 08:00 am",0,0.00%,
"Feb 7, 09:00 am",0,0.00%,
"Feb 7, 10:00 am",0,0.00%,
"Feb 7, 11:00 am",0,0.00%,
"Feb 7, 12:00 pm",0,0.00%,
"Feb 7, 01:00 pm",29904.5,4.01%,
"Feb 7, 02:00 pm",315262,42.25%,
"Feb 7, 03:00 pm",551862,73.95%,
"Feb 7, 04:00 pm",463757,62.14%,
"Feb 7, 05:00 pm",671546,89.99%,
"Feb 7, 06:00 pm",458717,61.47%,
"Feb 7, 07:00 pm",458250,61.41%,
"Feb 7, 08:00 pm",553365,74.15%,
"Feb 7, 09:00 pm",401146,53.75%,
"Feb 7, 10:00 pm",103115,13.82%,
"Feb 7, 11:00 pm",0,0.00%,
"Feb 8, 12:00 am",0,0.00%,
"Feb 8, 01:00 am",0,0.00%,
"Feb 8, 02:00 am",0,0.00%,
"Feb 8, 03:00 am",0,0.00%,
"Feb 8, 04:00 am",0,0.00%,
"Feb 8, 05:00 am",0,0.00%,
"Feb 8, 06:00 am",0,0.00%,
"Feb 8, 07:00 am",0,0.00%,
"Feb 8, 08:00 am",0,0.00%,
"Feb 8, 09:00 am",0,0.00%,
"Feb 8, 10:00 am",0,0.00%,
"Feb 8, 11:00 am",0,0.00%,
"Feb 8, 12:00 pm",0,0.00%,
"Feb 8, 01:00 pm",32485.4,4.35%,
"Feb 8, 02:00 pm",329027,44.09%,
"Feb 8, 03:00 pm",569870,76.36%,
"Feb 8, 04:00 pm",726391,97.34%,
"Feb 8, 05:00 pm",451991,60.57%,
"Feb 8, 06:00 pm",666990,89.38%,
"Feb 8, 07:00 pm",746269,100.00%,
"Feb 8, 08:00 pm",561243,75.21%,
"Feb 8, 09:00 pm",404189,54.16%,
"Feb 8, 10:00 pm",111578,14.95%,
"Feb 8, 11:00 pm",0,0.00%,
"Feb 9, 12:00 am",0,0.00%,
"Feb 9, 01:00 am",0,0.00%,
"Feb 9, 02:00 am",0,0.00%,
"Feb 9, 03:00 am",0,0.00%,
"Feb 9, 04:00 am",0,0.00%,
"Feb 9, 05:00 am",0,0.00%,
"Feb 9, 06:00 am",0,0.00%,
"Feb 9, 07:00 am",0,0.00%,
"Feb 9, 08:00 am",0,0.00%,
"Feb 9, 09:00 am",0,0.00%,
"Feb 9, 10:00 am",0,0.00%,
"Feb 9, 11:00 am",0,0.00%,
"Feb 9, 12:00 pm",0,0.00%,
"Feb 9, 01:00 pm",35531.6,4.76%,
"Feb 9, 02:00 pm",306090,41.02%,
"Feb 9, 03:00 pm",550945,73.83%,
"Feb 9, 04:00 pm",613169,82.16%,
"Feb 9, 05:00 pm",746269,100.00%,
"Feb 9, 06:00 pm",746269,100.00%,
"Feb 9, 07:00 pm",746269,100.00%,
"Feb 9, 08:00 pm",726932,97.41%,
"Feb 9, 09:00 pm",516200,69.17%,
"Feb 9, 10:00 pm",189533,25.40%,
"Feb 9, 11:00 pm",0,0.00%,
"Feb 10, 12:00 am",0,0.00%,
"Feb 10, 01:00 am",0,0.00%,
"Feb 10, 02:00 am",0,0.00%,
"Feb 10, 03:00 am",0,0.00%,
"Feb 10, 04:00 am",0,0.00%,
"Feb 10, 05:00 am",0,0.00%,
"Feb 10, 06:00 am",0,0.00%,
"Feb 10, 07:00 am",0,0.00%,
"Feb 10, 08:00 am",0,0.00%,
"Feb 10, 09:00 am",0,0.00%,
"Feb 10, 10:00 am",0,0.00%,
"Feb 10, 11:00 am",0,0.00%,
"Feb 10, 12:00 pm",0,0.00%,
"Feb 10, 01:00 pm",46156.8,6.19%,
"Feb 10, 02:00 pm",346464,46.43%,
"Feb 10, 03:00 pm",568849,76.23%,
"Feb 10, 04:00 pm",738404,98.95%,
"Feb 10, 05:00 pm",746269,100.00%,
"Feb 10, 06:00 pm",746269,100.00%,
"Feb 10, 07:00 pm",746269,100.00%,
"Feb 10, 08:00 pm",701712,94.03%,
"Feb 10, 09:00 pm",486453,65.18%,
"Feb 10, 10:00 pm",184125,24.67%,
"Feb 10, 11:00 pm",0,0.00%,
"Feb 11, 12:00 am",0,0.00%,
"Feb 11, 01:00 am",0,0.00%,
"Feb 11, 02:00 am",0,0.00%,
"Feb 11, 03:00 am",0,0.00%,
"Feb 11, 04:00 am",0,0.00%,
"Feb 11, 05:00 am",0,0.00%,
"Feb 11, 06:00 am",0,0.00%,
"Feb 11, 07:00 am",0,0.00%,
"Feb 11, 08:00 am",0,0.00%,
"Feb 11, 09:00 am",0,0.00%,
"Feb 11, 10:00 am",0,0.00%,
"Feb 11, 11:00 am",0,0.00%,
"Feb 11, 12:00 pm",0,0.00%,
"Feb 11, 01:00 pm",45712,6.13%,
"Feb 11, 02:00 pm",335317,44.93%,
"Feb 11, 03:00 pm",512055,68.62%,
"Feb 11, 04:00 pm",703083,94.21%,
"Feb 11, 05:00 pm",746269,100.00%,
"Feb 11, 06:00 pm",746269,100.00%,
"Feb 11, 07:00 pm",746269,100.00%,
"Feb 11, 08:00 pm",478187,64.08%,
"Feb 11, 09:00 pm",313527,42.01%,
"Feb 11, 10:00 pm",86184.9,11.55%,
"Feb 11, 11:00 pm",0,0.00%,
"Feb 12, 12:00 am",0,0.00%,
"Feb 12, 01:00 am",0,0.00%,
"Feb 12, 02:00 am",0,0.00%,
"Feb 12, 03:00 am",0,0.00%,
"Feb 12, 04:00 am",0,0.00%,
"Feb 12, 05:00 am",0,0.00%,
"Feb 12, 06:00 am",0,0.00%,
"Feb 12, 07:00 am",0,0.00%,
"Feb 12, 08:00 am",0,0.00%,
"Feb 12, 09:00 am",0,0.00%,
"Feb 12, 10:00 am",0,0.00%,
"Feb 12, 11:00 am",0,0.00%,
"Feb 12, 12:00 pm",0,0.00%,
"Feb 12, 01:00 pm",49408.3,6.62%,
"Feb 12, 02:00 pm",368756,49.41%,
"Feb 12, 03:00 pm",434274,58.19%,
"Feb 12, 04:00 pm",576908,77.31%,
"Feb 12, 05:00 pm",746269,100.00%,
"Feb 12, 06:00 pm",746269,100.00%,
"Feb 12, 07:00 pm",746269,100.00%,
"Feb 12, 08:00 pm",732163,98.11%,
"Feb 12, 09:00 pm",523548,70.16%,
"Feb 12, 10:00 pm",216291,28.98%,
"Feb 12, 11:00 pm",0,0.00%,
"Feb 13, 12:00 am",0,0.00%,
"Feb 13, 01:00 am",0,0.00%,
"Feb 13, 02:00 am",0,0.00%,
"Feb 13, 03:00 am",0,0.00%,
"Feb 13, 04:00 am",0,0.00%,
"Feb 13, 05:00 am",0,0.00%,
"Feb 13, 06:00 am",0,0.00%,
"Feb 13, 07:00 am",0,0.00%,
"Feb 13, 08:00 am",0,0.00%,
"Feb 13, 09:00 am",0,0.00%,
"Feb 13, 10:00 am",0,0.00%,
"Feb 13, 11:00 am",0,0.00%,
"Feb 13, 12:00 pm",0,0.00%,
"Feb 13, 01:00 pm",30116.8,4.04%,
"Feb 13, 02:00 pm",196579,26.34%,
"Feb 13, 03:00 pm",420530,56.35%,
"Feb 13, 04:00 pm",527819,70.73%,
"Feb 13, 05:00 pm",746269,100.00%,
"Feb 13, 06:00 pm",457593,61.32%,
"Feb 13, 07:00 pm",540532,72.43%,
"Feb 13, 08:00 pm",148450,19.89%,
"Feb 13, 09:00 pm",392930,52.65%,
"Feb 13, 10:00 pm",170711,22.88%,
"Feb 13, 11:00 pm",0,0.00%,
"Feb 14, 12:00 am",0,0.00%,
"Feb 14, 01:00 am",0,0.00%,
"Feb 14, 02:00 am",0,0.00%,
"Feb 14, 03:00 am",0,0.00%,
"Feb 14, 04:00 am",0,0.00%,
"Feb 14, 05:00 am",0,0.00%,
"Feb 14, 06:00 am",0,0.00%,
"Feb 14, 07:00 am",0,0.00%,
"Feb 14, 08:00 am",0,0.00%,
"Feb 14, 09:00 am",0,0.00%,
"Feb 14, 10:00 am",0,0.00%,
"Feb 14, 11:00 am",0,0.00%,
"Feb 14, 12:00 pm",0,0.00%,
"Feb 14, 01:00 pm",86192.9,11.55%,
"Feb 14, 02:00 pm",427749,57.32%,
"Feb 14, 03:00 pm",638961,85.62%,
"Feb 14, 04:00 pm",746269,100.00%,
"Feb 14, 05:00 pm",746269,100.00%,
"Feb 14, 06:00 pm",746269,100.00%,
"Feb 14, 07:00 pm",746269,100.00%,
"Feb 14, 08:00 pm",667138,89.40%,
"Feb 14, 09:00 pm",484505,64.92%,
"Feb 14, 10:00 pm",212898,28.53%,
"Feb 14, 11:00 pm",0,0.00%,
"Feb 15, 12:00 am",0,0.00%,
"Feb 15, 01:00 am",0,0.00%,
"Feb 15, 02:00 am",0,0.00%,
"Feb 15, 03:00 am",0,0.00%,
"Feb 15, 04:00 am",0,0.00%,
"Feb 15, 05:00 am",0,0.00%,
"Feb 15, 06:00 am",0,0.00%,
"Feb 15, 07:00 am",0,0.00%,
"Feb 15, 08:00 am",0,0.00%,
"Feb 15, 09:00 am",0,0.00%,
"Feb 15, 10:00 am",0,0.00%,
"Feb 15, 11:00 am",0,0.00%,
"Feb 15, 12:00 pm",0,0.00%,
"Feb 15, 01:00 pm",8701.12,1.17%,
"Feb 15, 02:00 pm",64574.5,8.65%,
"Feb 15, 03:00 pm",97862.8,13.11%,
"Feb 15, 04:00 pm",249164,33.39%,
"Feb 15, 05:00 pm",75220,10.08%,
"Feb 15, 06:00 pm",52241.6,7.00%,
"Feb 15, 07:00 pm",192250,25.76%,
"Feb 15, 08:00 pm",218723,29.31%,
"Feb 15, 09:00 pm",71669.3,9.60%,
"Feb 15, 10:00 pm",220766,29.58%,
"Feb 15, 11:00 pm",0,0.00%,
"Feb 16, 12:00 am",0,0.00%,
"Feb 16, 01:00 am",0,0.00%,
"Feb 16, 02:00 am",0,0.00%,
"Feb 16, 03:00 am",0,0.00%,
"Feb 16, 04:00 am",0,0.00%,
"Feb 16, 05:00 am",0,0.00%,
"Feb 16, 06:00 am",0,0.00%,
"Feb 16, 07:00 am",0,0.00%,
"Feb 16, 08:00 am",0,0.00%,
"Feb 16, 09:00 am",0,0.00%,
"Feb 16, 10:00 am",0,0.00%,
"Feb 16, 11:00 am",0,0.00%,
"Feb 16, 12:00 pm",0,0.00%,
"Feb 16, 01:00 pm",94792.8,12.70%,
"Feb 16, 02:00 pm",432875,58.01%,
"Feb 16, 03:00 pm",651871,87.35%,
"Feb 16, 04:00 pm",746269,100.00%,
"Feb 16, 05:00 pm",746269,100.00%,
"Feb 16, 06:00 pm",746269,100.00%,
"Feb 16, 07:00 pm",746269,100.00%,
"Feb 16, 08:00 pm",738087,98.90%,
"Feb 16, 09:00 pm",489705,65.62%,
"Feb 16, 10:00 pm",165890,22.23%,
"Feb 16, 11:00 pm",0,0.00%,
"Feb 17, 12:00 am",0,0.00%,
"Feb 17, 01:00 am",0,0.00%,
"Feb 17, 02:00 am",0,0.00%,
"Feb 17, 03:00 am",0,0.00%,
"Feb 17, 04:00 am",0,0.00%,
"Feb 17, 05:00 am",0,0.00%,
"Feb 17, 06:00 am",0,0.00%,
"Feb 17, 07:00 am",0,0.00%,
"Feb 17, 08:00 am",0,0.00%,
"Feb 17, 09:00 am",0,0.00%,
"Feb 17, 10:00 am",0,0.00%,
"Feb 17, 11:00 am",0,0.00%,
"Feb 17, 12:00 pm",0,0.00%,
"Feb 17, 01:00 pm",80764.9,10.82%,
"Feb 17, 02:00 pm",336779,45.13%,
"Feb 17, 03:00 pm",554162,74.26%,
"Feb 17, 04:00 pm",660167,88.46%,
"Feb 17, 05:00 pm",734597,98.44%,
"Feb 17, 06:00 pm",731051,97.96%,
"Feb 17, 07:00 pm",698806,93.64%,
"Feb 17, 08:00 pm",438440,58.75%,
"Feb 17, 09:00 pm",457028,61.24%,
"Feb 17, 10:00 pm",232482,31.15%,
"Feb 17, 11:00 pm",0,0.00%,
"Feb 18, 12:00 am",0,0.00%,
"Feb 18, 01:00 am",0,0.00%,
"Feb 18, 02:00 am",0,0.00%,
"Feb 18, 03:00 am",0,0.00%,
"Feb 18, 04:00 am",0,0.00%,
"Feb 18, 05:00 am",0,0.00%,
"Feb 18, 06:00 am",0,0.00%,
"Feb 18, 07:00 am",0,0.00%,
"Feb 18, 08:00 am",0,0.00%,
"Feb 18, 09:00 am",0,0.00%,
"Feb 18, 10:00 am",0,0.00%,
"Feb 18, 11:00 am",0,0.00%,
"Feb 18, 12:00 pm",0,0.00%,
"Feb 18, 01:00 pm",63284.4,8.48%,
"Feb 18, 02:00 pm",231378,31.00%,
"Feb 18, 03:00 pm",336634,45.11%,
"Feb 18, 04:00 pm",304251,40.77%,
"Feb 18, 05:00 pm",196772,26.37%,
"Feb 18, 06:00 pm",164478,22.04%,
"Feb 18, 07:00 pm",156382,20.96%,
"Feb 18, 08:00 pm",85707.5,11.48%,
"Feb 18, 09:00 pm",94530,12.67%,
"Feb 18, 10:00 pm",43786.3,5.87%,
"Feb 18, 11:00 pm",0,0.00%,
"Feb 19, 12:00 am",0,0.00%,
"Feb 19, 01:00 am",0,0.00%,
"Feb 19, 02:00 am",0,0.00%,
"Feb 19, 03:00 am",0,0.00%,
"Feb 19, 04:00 am",0,0.00%,
"Feb 19, 05:00 am",0,0.00%,
"Feb 19, 06:00 am",0,0.00%,
"Feb 19, 07:00 am",0,0.00%,
"Feb 19, 08:00 am",0,0.00%,
"Feb 19, 09:00 am",0,0.00%,
"Feb 19, 10:00 am",0,0.00%,
"Feb 19, 11:00 am",0,0.00%,
"Feb 19, 12:00 pm",0,0.00%,
"Feb 19, 01:00 pm",42157.9,5.65%,
"Feb 19, 02:00 pm",193252,25.90%,
"Feb 19, 03:00 pm",134369,18.01%,
"Feb 19, 04:00 pm",432776,57.99%,
"Feb 19, 05:00 pm",345750,46.33%,
"Feb 19, 06:00 pm",55067.1,7.38%,
"Feb 19, 07:00 pm",102067,13.68%,
"Feb 19, 08:00 pm",108339,14.52%,
"Feb 19, 09:00 pm",58099.6,7.79%,
"Feb 19, 10:00 pm",18551.8,2.49%,
"Feb 19, 11:00 pm",0,0.00%,
"Feb 20, 12:00 am",0,0.00%,
"Feb 20, 01:00 am",0,0.00%,
"Feb 20, 02:00 am",0,0.00%,
"Feb 20, 03:00 am",0,0.00%,
"Feb 20, 04:00 am",0,0.00%,
"Feb 20, 05:00 am",0,0.00%,
"Feb 20, 06:00 am",0,0.00%,
"Feb 20, 07:00 am",0,0.00%,
"Feb 20, 08:00 am",0,0.00%,
"Feb 20, 09:00 am",0,0.00%,
"Feb 20, 10:00 am",0,0.00%,
"Feb 20, 11:00 am",0,0.00%,
"Feb 20, 12:00 pm",0,0.00%,
"Feb 20, 01:00 pm",7329.68,0.98%,
"Feb 20, 02:00 pm",262862,35.22%,
"Feb 20, 03:00 pm",535661,71.78%,
"Feb 20, 04:00 pm",286813,38.43%,
"Feb 20, 05:00 pm",111807,14.98%,
"Feb 20, 06:00 pm",183663,24.61%,
"Feb 20, 07:00 pm",179077,24.00%,
"Feb 20, 08:00 pm",94678.9,12.69%,
"Feb 20, 09:00 pm",35963.6,4.82%,
"Feb 20, 10:00 pm",16468.7,2.21%,
"Feb 20, 11:00 pm",0,0.00%,
"Feb 21, 12:00 am",0,0.00%,
"Feb 21, 01:00 am",0,0.00%,
"Feb 21, 02:00 am",0,0.00%,
"Feb 21, 03:00 am",0,0.00%,
"Feb 21, 04:00 am",0,0.00%,
"Feb 21, 05:00 am",0,0.00%,
"Feb 21, 06:00 am",0,0.00%,
"Feb 21, 07:00 am",0,0.00%,
"Feb 21, 08:00 am",0,0.00%,
"Feb 21, 09:00 am",0,0.00%,
"Feb 21, 10:00 am",0,0.00%,
"Feb 21, 11:00 am",0,0.00%,
"Feb 21, 12:00 pm",0,0.00%,
"Feb 21, 01:00 pm",145927,19.55%,
"Feb 21, 02:00 pm",414778,55.58%,
"Feb 21, 03:00 pm",562344,75.35%,
"Feb 21, 04:00 pm",710651,95.23%,
"Feb 21, 05:00 pm",746269,100.00%,
"Feb 21, 06:00 pm",746269,100.00%,
"Feb 21, 07:00 pm",746269,100.00%,
"Feb 21, 08:00 pm",701812,94.04%,
"Feb 21, 09:00 pm",467262,62.61%,
"Feb 21, 10:00 pm",196015,26.27%,
"Feb 21, 11:00 pm",0,0.00%,
"Feb 22, 12:00 am",0,0.00%,
"Feb 22, 01:00 am",0,0.00%,
"Feb 22, 02:00 am",0,0.00%,
"Feb 22, 03:00 am",0,0.00%,
"Feb 22, 04:00 am",0,0.00%,
"Feb 22, 05:00 am",0,0.00%,
"Feb 22, 06:00 am",0,0.00%,
"Feb 22, 07:00 am",0,0.00%,
"Feb 22, 08:00 am",0,0.00%,
"Feb 22, 09:00 am",0,0.00%,
"Feb 22, 10:00 am",0,0.00%,
"Feb 22, 11:00 am",0,0.00%,
"Feb 22, 12:00 pm",0,0.00%,
"Feb 22, 01:00 pm",113924,15.27%,
"Feb 22, 02:00 pm",370187,49.60%,
"Feb 22, 03:00 pm",499585,66.94%,
"Feb 22, 04:00 pm",679312,91.03%,
"Feb 22, 05:00 pm",701019,93.94%,
"Feb 22, 06:00 pm",746269,100.00%,
"Feb 22, 07:00 pm",739263,99.06%,
"Feb 22, 08:00 pm",478365,64.10%,
"Feb 22, 09:00 pm",220748,29.58%,
"Feb 22, 10:00 pm",111923,15.00%,
"Feb 22, 11:00 pm",1680.39,0.23%,
"Feb 23, 12:00 am",0,0.00%,
"Feb 23, 01:00 am",0,0.00%,
"Feb 23, 02:00 am",0,0.00%,
"Feb 23, 03:00 am",0,0.00%,
"Feb 23, 04:00 am",0,0.00%,
"Feb 23, 05:00 am",0,0.00%,
"Feb 23, 06:00 am",0,0.00%,
"Feb 23, 07:00 am",0,0.00%,
"Feb 23, 08:00 am",0,0.00%,
"Feb 23, 09:00 am",0,0.00%,
"Feb 23, 10:00 am",0,0.00%,
"Feb 23, 11:00 am",0,0.00%,
"Feb 23, 12:00 pm",0,0.00%,
"Feb 23, 01:00 pm",61380.1,8.22%,
"Feb 23, 02:00 pm",222771,29.85%,
"Feb 23, 03:00 pm",170864,22.90%,
"Feb 23, 04:00 pm",278601,37.33%,
"Feb 23, 05:00 pm",268627,36.00%,
"Feb 23, 06:00 pm",184984,24.79%,
"Feb 23, 07:00 pm",116832,15.66%,
"Feb 23, 08:00 pm",96845.6,12.98%,
"Feb 23, 09:00 pm",126261,16.92%,
"Feb 23, 10:00 pm",51027.4,6.84%,
"Feb 23, 11:00 pm",802.041,0.11%,
"Feb 24, 12:00 am",0,0.00%,
"Feb 24, 01:00 am",0,0.00%,
"Feb 24, 02:00 am",0,0.00%,
"Feb 24, 03:00 am",0,0.00%,
"Feb 24, 04:00 am",0,0.00%,
"Feb 24, 05:00 am",0,0.00%,
"Feb 24, 06:00 am",0,0.00%,
"Feb 24, 07:00 am",0,0.00%,
"Feb 24, 08:00 am",0,0.00%,
"Feb 24, 09:00 am",0,0.00%,
"Feb 24, 10:00 am",0,0.00%,
"Feb 24, 11:00 am",0,0.00%,
"Feb 24, 12:00 pm",0,0.00%,
"Feb 24, 01:00 pm",128673,17.24%,
"Feb 24, 02:00 pm",470426,63.04%,
"Feb 24, 03:00 pm",674248,90.35%,
"Feb 24, 04:00 pm",746269,100.00%,
"Feb 24, 05:00 pm",746269,100.00%,
"Feb 24, 06:00 pm",746269,100.00%,
"Feb 24, 07:00 pm",746269,100.00%,
"Feb 24, 08:00 pm",381520,51.12%,
"Feb 24, 09:00 pm",357118,47.85%,
"Feb 24, 10:00 pm",210286,28.18%,
"Feb 24, 11:00 pm",2713.89,0.36%,
"Feb 25, 12:00 am",0,0.00%,
"Feb 25, 01:00 am",0,0.00%,
"Feb 25, 02:00 am",0,0.00%,
"Feb 25, 03:00 am",0,0.00%,
"Feb 25, 04:00 am",0,0.00%,
"Feb 25, 05:00 am",0,0.00%,
"Feb 25, 06:00 am",0,0.00%,
"Feb 25, 07:00 am",0,0.00%,
"Feb 25, 08:00 am",0,0.00%,
"Feb 25, 09:00 am",0,0.00%,
"Feb 25, 10:00 am",0,0.00%,
"Feb 25, 11:00 am",0,0.00%,
"Feb 25, 12:00 pm",0,0.00%,
"Feb 25, 01:00 pm",32483.5,4.35%,
"Feb 25, 02:00 pm",167945,22.50%,
"Feb 25, 03:00 pm",65075.3,8.72%,
"Feb 25, 04:00 pm",87546.3,11.73%,
"Feb 25, 05:00 pm",86392.6,11.58%,
"Feb 25, 06:00 pm",131340,17.60%,
"Feb 25, 07:00 pm",185575,24.87%,
"Feb 25, 08:00 pm",155391,20.82%,
"Feb 25, 09:00 pm",100352,13.45%,
"Feb 25, 10:00 pm",26593.6,3.56%,
"Feb 25, 11:00 pm",1758.6,0.24%,
"Feb 26, 12:00 am",0,0.00%,
"Feb 26, 01:00 am",0,0.00%,
"Feb 26, 02:00 am",0,0.00%,
"Feb 26, 03:00 am",0,0.00%,
"Feb 26, 04:00 am",0,0.00%,
"Feb 26, 05:00 am",0,0.00%,
"Feb 26, 06:00 am",0,0.00%,
"Feb 26, 07:00 am",0,0.00%,
"Feb 26, 08:00 am",0,0.00%,
"Feb 26, 09:00 am",0,0.00%,
"Feb 26, 10:00 am",0,0.00%,
"Feb 26, 11:00 am",0,0.00%,
"Feb 26, 12:00 pm",0,0.00%,
"Feb 26, 01:00 pm",141049,18.90%,
"Feb 26, 02:00 pm",467480,62.64%,
"Feb 26, 03:00 pm",674352,90.36%,
"Feb 26, 04:00 pm",746269,100.00%,
"Feb 26, 05:00 pm",746269,100.00%,
"Feb 26, 06:00 pm",746269,100.00%,
"Feb 26, 07:00 pm",705346,94.52%,
"Feb 26, 08:00 pm",622421,83.40%,
